Condução de Calor
Coordenadas dos nós
178
174	9.44E+00	4.33E+01
175	0.00E+00	5.67E+01
176	0.00E+00	4.33E+01
177	1.10E+02	4.33E+01
178	1.10E+02	5.67E+01
Matriz de conectividades
151
1    1    4     29 1 14 30		
2    1    4     1 2 13 14		
3    1    4     2 3 12 13		
4    1    4     3 4 11 12		
5    1    4     4 5 10 11		
6    1    4     5 6 9 10		
7    1    4     6 7 8 9		
8    1    4     7 31 32 8		
9    1    4     36 22 21 35		
10    1    4    22 23 20 21		
11    1    4    23 24 19 20		
12    1    4    24 25 18 19		
13    1    4    25 26 17 18		
14    1    4    26 27 16 17		
15    1    4    27 28 15 16		
16    1    4    28 33 34 15		
17    1    4    38 51 52 39		
18    1    4    39 52 53 40		
19    1    4    40 53 54 41		
20    1    4    41 54 55 42		
21    1    4    42 55 56 43		
22    1    4    43 56 57 44		
23    1    4    44 57 58 45		
24    1    4    45 58 59 46		
25    1    4    46 59 60 47		
26    1    4    47 60 61 48		
27    1    4    48 61 62 37		
28    1    4    37 62 63 49		
29    1    4    49 63 64 50		
30    1    4    141 93 38 98		
31    1    4    93 94 51 38		
32    1    4    94 140 113 51		
33    1    4    51 113 114 52		
34    1    4    52 114 115 53		
35    1    4    53 115 116 54		
36    1    4    54 116 117 55		
37    1    4    55 117 118 56		
38    1    4    56 118 119 57		
39    1    4    57 119 120 58		
40    1    4    58 120 121 59		
41    1    4    59 121 122 60		
42    1    4    60 122 123 61		
43    1    4    61 123 124 62		
44    1    4    62 124 125 63		
45    1    4    63 125 126 64		
46    1    4    64 126 143 128		
47    1    4    50 64 128 129		
48    1    4    127 50 129 144		
49    1    4    31 49 50 127		
50    1    4    7 37 49 31		
51    1    4    6 48 37 7		
52    1    4    5 47 48 6		
53    1    4    4 46 47 5		
54    1    4    3 45 46 4		
55    1    4    2 44 45 3		
56    1    4    1 43 44 2		
57    1    4    29 42 43 1		
58    1    4    95 41 42 29		
59    1    4    96 40 41 95		
60    1    4    97 39 40 96		
61    1    4    98 38 39 97		
62    1    4    65 79 80 66		
63    1    4    66 80 81 67		
64    1    4    67 81 82 68		
65    1    4    68 82 83 69		
66    1    4    69 83 84 70		
67    1    4    70 84 85 71		
68    1    4    71 85 86 72		
69    1    4    72 86 87 73		
70    1    4    73 87 88 74		
71    1    4    74 88 89 75		
72    1    4    75 89 90 76		
73    1    4    76 90 91 77		
74    1    4    77 91 92 78		
75    1    4    146 137 65 136		
76    1    4    137 138 79 65		
77    1    4    138 142 112 79		
78    1    4    79 112 111 80		
79    1    4    80 111 110 81		
80    1    4    81 110 109 82		
81    1    4    82 109 108 83		
82    1    4    83 108 107 84		
83    1    4    84 107 106 85		
84    1    4    85 106 105 86		
85    1    4    86 105 104 87		
86    1    4    87 104 103 88		
87    1    4    88 103 102 89		
88    1    4    89 102 101 90		
89    1    4    90 101 100 91		
90    1    4    91 100 99 92		
91    1    4    92 99 139 130		
92    1    4    78 92 130 131		
93    1    4    132 78 131 145		
94    1    4    33 77 78 132		
95    1    4    28 76 77 33		
96    1    4    27 75 76 28		
97    1    4    26 74 75 27		
98    1    4    25 73 74 26		
99    1    4    24 72 73 25		
100    1    4   23 71 72 24		
101    1    4   22 70 71 23		
102    1    4   36 69 70 22		
103    1    4   133 68 69 36		
104    1    4   134 67 68 133		
105    1    4   135 66 67 134		
106    1    4   136 65 66 135		
107    2    4    147 149 150 148		
108    2    4    149 151 152 150		
109    2    4    151 153 154 152		
110    2    4    153 155 156 154		
111    2    4    155 157 158 156		
112    2    4    157 159 160 158		
113    2    4    159 161 162 160		
114    2    4    161 163 164 162		
115    2    4    163 165 166 164		
116    2    4    165 167 168 166		
117    2    4    167 169 170 168		
118    2    4    169 171 172 170		
119    2    4    171 173 174 172		
120    2    4    143 126 147 178		
121    2    4    126 125 149 147		
122    2    4    125 124 151 149		
123    2    4    124 123 153 151		
124    2    4    123 122 155 153		
125    2    4    122 121 157 155		
126    2    4    121 120 159 157		
127    2    4    120 119 161 159		
128    2    4    119 118 163 161		
129    2    4    118 117 165 163		
130    2    4    117 116 167 165		
131    2    4    116 115 169 167		
132    2    4    115 114 171 169		
133    2    4    114 113 173 171		
134    2    4    113 140 175 173		
135    2    4    173 175 176 174		
136    2    4    174 176 139 99		
137    2    4    172 174 99 100		
138    2    4    170 172 100 101		
139    2    4    168 170 101 102		
140    2    4    166 168 102 103		
141    2    4    164 166 103 104		
142    2    4    162 164 104 105		
143    2    4    160 162 105 106		
144    2    4    158 160 106 107		
145    2    4    156 158 107 108		
146    2    4    154 156 108 109		
147    2    4    152 154 109 110		
148    2    4    150 152 110 111		
149    2    4    148 150 111 112		
150    2    4    177 148 112 142		
151    2    4    178 147 148 177		
Propriedades do Material
2
1 0.06
2 2.1
Carregamentos distribuídos
0
Condição fronteira natural
36
8	175
9	175
10	175
11	175
12	175
13	175
14	175
15	425
16	425
17	425
18	425
19	425
20	425
21	425
29	175
30	175
31	175
32	175
33	425
34	425
35	425
36	425
95	175
96	175
97	175
98	175
127	175
132	425
133	425
134	425
135	425
136	425
141	175
144	175
145	425
146	425
Cargas pontuais
0
Fluxo imposto na fronteira
0
Convecção Natural
18
30 141 93 120 250
31 93 94 120 250
32 94 140 120 250
134 140 175 120 250
135 175 176 120 250
136 176 139 120 250
91 139 130 120 250
92 130 131 120 250
93 131 145 120 250
48 144 129 30 25
47 129 128 30 25
46 128 143 30 25
120 143 178 30 25
151 178 177 30 25
150 177 142 30 25
77 142 138 30 25
76 138 137 30 25
75 137 146 30 25
